El municipio en cifras
Distribución de los distritos
Periodo;Anual;2015
Orden;Cod. Territorio;Territorio;Renta neta media por hogar
1;28079DIS05;Chamartín;60.948
2;28079DIS09;Moncloa - Aravaca;56.444
3;28079DIS04;Salamanca;53.972
4;28079DIS03;Retiro;51.790
5;28079DIS07;Chamberí;48.989
6;28079DIS08;Fuencarral - El Pardo;48.847
7;28079DIS16;Hortaleza;47.110
8;28079DIS21;Barajas;46.347
9;28079DIS02;Arganzuela;40.201
10;28079DIS15;Ciudad Lineal;36.833
11;28079DIS14;Moratalaz;34.753
12;28079DIS06;Tetuán;34.700
13;28079DIS20;San Blas - Canillejas;34.494
14;28079DIS19;Vicálvaro;31.466
15;28079DIS01;Centro;31.378
16;28079DIS18;Villa de Vallecas;30.170
17;28079DIS10;Latina;30.156
18;28079DIS11;Carabanchel;27.936
19;28079DIS17;Villaverde;26.599
20;28079DIS12;Usera;25.569
21;28079DIS13;Puente de Vallecas;24.688
