El municipio en cifras
Distribución de los barrios de Madrid
Periodo;Anual;2015
Orden;Cod. Territorio;Territorio;Renta neta media por hogar
1;28079BAR095;Valdemarín;112.321
2;28079BAR051;El Viso;103.573
3;28079BAR096;El Plantío;101.419
4;28079BAR082;Fuentelarreina;98.156
5;28079BAR162;Piovera;97.254
6;28079BAR035;Jerónimos;84.955
7;28079BAR041;Recoletos;84.706
8;28079BAR046;Castellana;82.811
9;28079BAR161;Palomas;81.737
10;28079BAR055;Nueva España;80.248
11;28079BAR087;Mirasierra;78.328
12;28079BAR097;Aravaca;77.061
13;28079BAR036;Niño Jesús;69.100
14;28079BAR074;Almagro;68.787
15;28079BAR158;Atalaya;67.826
16;28079BAR093;Ciudad Universitaria;67.390
17;28079BAR215;Corralejos;65.879
18;28079BAR159;Costillares;65.589
19;28079BAR054;Hispanoamérica;62.635
20;28079BAR076;Vallehermoso;59.459
21;28079BAR085;La Paz;58.457
22;28079BAR033;Estrella;58.249
23;28079BAR088;El Goloso;57.441
24;28079BAR156;San Juan Bautista;56.198
25;28079BAR166;Valdefuentes;55.975
26;28079BAR056;Castilla;54.870
27;28079BAR208;El Salvador;54.441
28;28079BAR157;Colina;54.247
29;28079BAR092;Argüelles;53.461
30;28079BAR211;Alameda de Osuna;52.281
31;28079BAR024;Legazpi;48.935
32;28079BAR042;Goya;48.815
33;28079BAR075;Ríos Rosas;47.955
34;28079BAR045;Lista;47.375
35;28079BAR044;Guindalera;46.341
36;28079BAR032;Adelfas;45.843
37;28079BAR034;Ibiza;45.561
38;28079BAR083;Peña Grande;45.508
39;28079BAR142;Horcajo;45.041
40;28079BAR063;Castillejos;45.025
41;28079BAR022;Acacias;44.669
42;28079BAR053;Ciudad Jardín;43.707
43;28079BAR052;Prosperidad;43.702
44;28079BAR205;Rosas;43.369
45;28079BAR062;Cuatro Caminos;43.306
46;28079BAR071;Gaztambide;42.608
47;28079BAR086;Valverde;42.537
48;28079BAR155;San Pascual;42.450
49;28079BAR072;Arapiles;42.210
50;28079BAR021;Imperial;41.951
51;28079BAR031;Pacífico;41.949
52;28079BAR091;Casa de Campo;41.436
53;28079BAR073;Trafalgar;41.126
54;28079BAR043;Fuente del Berro;40.504
55;28079BAR143;Marroquina;40.428
56;28079BAR014;Justicia;40.315
57;28079BAR214;Timón;40.271
58;28079BAR163;Canillas;39.790
59;28079BAR025;Delicias;39.648
60;28079BAR081;El Pardo;39.062
61;28079BAR206;Rejas;38.203
62;28079BAR027;Atocha;37.939
63;28079BAR165;Apostol Santiago;36.691
64;28079BAR182;Santa Eugenia;36.427
65;28079BAR144;Media Legua;35.439
66;28079BAR106;Cuatro Vientos;35.197
67;28079BAR094;Valdezarza;34.997
68;28079BAR013;Cortes;34.953
69;28079BAR011;Palacio;34.676
70;28079BAR191;Casco Histórico de Vicálvaro;34.498
71;28079BAR154;Concepción;34.263
72;28079BAR141;Pavones;34.025
73;28079BAR026;Palos de Moguer;33.938
74;28079BAR084;El Pilar;33.746
75;28079BAR164;Pinar del Rey;33.701
76;28079BAR023;Chopera;31.934
77;28079BAR105;Campamento;31.913
78;28079BAR201;Simancas;31.368
79;28079BAR207;Canillejas;31.306
80;28079BAR116;Buenavista;31.281
81;28079BAR061;Bellas Vistas;31.125
82;28079BAR104;Aluche;31.117
83;28079BAR016;Sol;30.936
84;28079BAR015;Universidad;30.702
85;28079BAR153;Quintana;30.422
86;28079BAR173;Butarque;30.153
87;28079BAR103;Lucero;30.076
88;28079BAR152;Pueblo Nuevo;30.039
89;28079BAR107;Las Aguilas;29.910
90;28079BAR101;Los Cármenes;29.541
91;28079BAR213;Casco Histórico de Barajas;29.450
92;28079BAR146;Vinateros;29.156
93;28079BAR066;Berruguete;28.946
94;28079BAR133;Palomeras Bajas;28.754
95;28079BAR064;Almenara;28.747
96;28079BAR174;Los Rosales;28.416
97;28079BAR181;Casco Histórico de Vallecas;28.357
98;28079BAR065;Valdeacederas;28.242
99;28079BAR151;Ventas;28.197
100;28079BAR204;Arcos;28.111
101;28079BAR175;Los Angeles;28.062
102;28079BAR112;Opañel;28.031
103;28079BAR145;Fontarrón;28.014
104;28079BAR117;Abrantes;27.998
105;28079BAR102;Puerta del Angel;27.914
106;28079BAR114;Vista Alegre;27.788
107;28079BAR111;Comillas;27.579
108;28079BAR121;Orcasitas;26.858
109;28079BAR134;Palomeras Sureste;26.632
110;28079BAR125;Moscardó;26.358
111;28079BAR113;San Isidro;26.283
112;28079BAR012;Embajadores;26.000
113;28079BAR115;Puerta Bonita;25.725
114;28079BAR124;Almendrales;25.506
115;28079BAR126;Zofío;25.498
116;28079BAR123;San Fermín;25.440
117;28079BAR122;Orcasur;24.996
118;28079BAR171;San Andrés;24.884
119;28079BAR136;Numancia;24.873
120;28079BAR212;Aeropuerto;24.254
121;28079BAR135;Portazgo;23.825
122;28079BAR202;Hellín;23.535
123;28079BAR127;Pradolongo;23.174
124;28079BAR131;Entrevías;22.055
125;28079BAR203;Amposta;21.842
126;28079BAR132;San Diego;21.225
127;28079BAR172;San Cristobal;19.587
128;28079BAR194;El Cañaveral;-
129;28079BAR193;Valderribas;-
130;28079BAR192;Ambroz;-
131;28079BAR183;Ensanche de Vallecas;-
